Date,RetailDayOfYear,RetailMonth,RetailYear,RetailWeek,RetailSemester,RetailMonthEnd,RetailWeekEnd,RetailSemesterEnd,IsWeekend,RetailYearStartPrev,MonthName,MonthAbbr
2018-02-05,1,1,2018,1,1,,2018-02-11,2018-08-05,False,2017-02-06,February,Feb
2018-02-06,2,1,2018,1,1,,2018-02-11,2018-08-05,False,2017-02-06,February,Feb
2018-02-07,3,1,2018,1,1,,2018-02-11,2018-08-05,False,2017-02-06,February,Feb
2018-02-08,4,1,2018,1,1,,2018-02-11,2018-08-05,False,2017-02-06,February,Feb
2018-02-09,5,1,2018,1,1,,2018-02-11,2018-08-05,False,2017-02-06,February,Feb
2018-02-10,6,1,2018,1,1,,2018-02-11,2018-08-05,True,2017-02-06,February,Feb
2018-02-11,7,1,2018,1,1,,2018-02-11,2018-08-05,False,2017-02-06,February,Feb
2018-02-12,8,1,2018,2,1,,2018-02-18,2018-08-05,False,2017-02-06,February,Feb
2018-02-13,9,1,2018,2,1,,2018-02-18,2018-08-05,False,2017-02-06,February,Feb
2018-02-14,10,1,2018,2,1,,2018-02-18,2018-08-05,False,2017-02-06,February,Feb
2018-02-15,11,1,2018,2,1,,2018-02-18,2018-08-05,False,2017-02-06,February,Feb
2018-02-16,12,1,2018,2,1,,2018-02-18,2018-08-05,False,2017-02-06,February,Feb
2018-02-17,13,1,2018,2,1,,2018-02-18,2018-08-05,True,2017-02-06,February,Feb
2018-02-18,14,1,2018,2,1,,2018-02-18,2018-08-05,False,2017-02-06,February,Feb
2018-02-19,15,1,2018,3,1,,2018-02-25,2018-08-05,False,2017-02-06,February,Feb
2018-02-20,16,1,2018,3,1,,2018-02-25,2018-08-05,False,2017-02-06,February,Feb
2018-02-21,17,1,2018,3,1,,2018-02-25,2018-08-05,False,2017-02-06,February,Feb
2018-02-22,18,1,2018,3,1,,2018-02-25,2018-08-05,False,2017-02-06,February,Feb
2018-02-23,19,1,2018,3,1,,2018-02-25,2018-08-05,False,2017-02-06,February,Feb
2018-02-24,20,1,2018,3,1,,2018-02-25,2018-08-05,True,2017-02-06,February,Feb
2018-02-25,21,1,2018,3,1,,2018-02-25,2018-08-05,False,2017-02-06,February,Feb
2018-02-26,22,1,2018,4,1,2018-03-04,2018-03-04,2018-08-05,False,2017-02-06,February,Feb
2018-02-27,23,1,2018,4,1,2018-03-04,2018-03-04,2018-08-05,False,2017-02-06,February,Feb
2018-02-28,24,1,2018,4,1,2018-03-04,2018-03-04,2018-08-05,False,2017-02-06,February,Feb
2018-03-01,25,1,2018,4,1,2018-03-04,2018-03-04,2018-08-05,False,2017-02-06,March,Mar
2018-03-02,26,1,2018,4,1,2018-03-04,2018-03-04,2018-08-05,False,2017-02-06,March,Mar
2018-03-03,27,1,2018,4,1,2018-03-04,2018-03-04,2018-08-05,True,2017-02-06,March,Mar
2018-03-04,28,1,2018,4,1,2018-03-04,2018-03-04,2018-08-05,False,2017-02-06,March,Mar
2018-03-05,29,2,2018,5,1,,2018-03-11,2018-08-05,False,2017-02-06,March,Mar
2018-03-06,30,2,2018,5,1,,2018-03-11,2018-08-05,False,2017-02-06,March,Mar
2018-03-07,31,2,2018,5,1,,2018-03-11,2018-08-05,False,2017-02-06,March,Mar
2018-03-08,32,2,2018,5,1,,2018-03-11,2018-08-05,False,2017-02-06,March,Mar
2018-03-09,33,2,2018,5,1,,2018-03-11,2018-08-05,False,2017-02-06,March,Mar
2018-03-10,34,2,2018,5,1,,2018-03-11,2018-08-05,True,2017-02-06,March,Mar
2018-03-11,35,2,2018,5,1,,2018-03-11,2018-08-05,False,2017-02-06,March,Mar
2018-03-12,36,2,2018,6,1,,2018-03-18,2018-08-05,False,2017-02-06,March,Mar
2018-03-13,37,2,2018,6,1,,2018-03-18,2018-08-05,False,2017-02-06,March,Mar
2018-03-14,38,2,2018,6,1,,2018-03-18,2018-08-05,False,2017-02-06,March,Mar
2018-03-15,39,2,2018,6,1,,2018-03-18,2018-08-05,False,2017-02-06,March,Mar
2018-03-16,40,2,2018,6,1,,2018-03-18,2018-08-05,False,2017-02-06,March,Mar
2018-03-17,41,2,2018,6,1,,2018-03-18,2018-08-05,True,2017-02-06,March,Mar
2018-03-18,42,2,2018,6,1,,2018-03-18,2018-08-05,False,2017-02-06,March,Mar
2018-03-19,43,2,2018,7,1,,2018-03-25,2018-08-05,False,2017-02-06,March,Mar
2018-03-20,44,2,2018,7,1,,2018-03-25,2018-08-05,False,2017-02-06,March,Mar
2018-03-21,45,2,2018,7,1,,2018-03-25,2018-08-05,False,2017-02-06,March,Mar
2018-03-22,46,2,2018,7,1,,2018-03-25,2018-08-05,False,2017-02-06,March,Mar
2018-03-23,47,2,2018,7,1,,2018-03-25,2018-08-05,False,2017-02-06,March,Mar
2018-03-24,48,2,2018,7,1,,2018-03-25,2018-08-05,True,2017-02-06,March,Mar
2018-03-25,49,2,2018,7,1,,2018-03-25,2018-08-05,False,2017-02-06,March,Mar
2018-03-26,50,2,2018,8,1,2018-04-01,2018-04-01,2018-08-05,False,2017-02-06,March,Mar
2018-03-27,51,2,2018,8,1,2018-04-01,2018-04-01,2018-08-05,False,2017-02-06,March,Mar
2018-03-28,52,2,2018,8,1,2018-04-01,2018-04-01,2018-08-05,False,2017-02-06,March,Mar
2018-03-29,53,2,2018,8,1,2018-04-01,2018-04-01,2018-08-05,False,2017-02-06,March,Mar
2018-03-30,54,2,2018,8,1,2018-04-01,2018-04-01,2018-08-05,False,2017-02-06,March,Mar
2018-03-31,55,2,2018,8,1,2018-04-01,2018-04-01,2018-08-05,True,2017-02-06,March,Mar
2018-04-01,56,2,2018,8,1,2018-04-01,2018-04-01,2018-08-05,False,2017-02-06,April,Apr
2018-04-02,57,3,2018,9,1,,2018-04-08,2018-08-05,False,2017-02-06,April,Apr
2018-04-03,58,3,2018,9,1,,2018-04-08,2018-08-05,False,2017-02-06,April,Apr
2018-04-04,59,3,2018,9,1,,2018-04-08,2018-08-05,False,2017-02-06,April,Apr
2018-04-05,60,3,2018,9,1,,2018-04-08,2018-08-05,False,2017-02-06,April,Apr
2018-04-06,61,3,2018,9,1,,2018-04-08,2018-08-05,False,2017-02-06,April,Apr
2018-04-07,62,3,2018,9,1,,2018-04-08,2018-08-05,True,2017-02-06,April,Apr
2018-04-08,63,3,2018,9,1,,2018-04-08,2018-08-05,False,2017-02-06,April,Apr
2018-04-09,64,3,2018,10,1,,2018-04-15,2018-08-05,False,2017-02-06,April,Apr
2018-04-10,65,3,2018,10,1,,2018-04-15,2018-08-05,False,2017-02-06,April,Apr
2018-04-11,66,3,2018,10,1,,2018-04-15,2018-08-05,False,2017-02-06,April,Apr
2018-04-12,67,3,2018,10,1,,2018-04-15,2018-08-05,False,2017-02-06,April,Apr
2018-04-13,68,3,2018,10,1,,2018-04-15,2018-08-05,False,2017-02-06,April,Apr
2018-04-14,69,3,2018,10,1,,2018-04-15,2018-08-05,True,2017-02-06,April,Apr
2018-04-15,70,3,2018,10,1,,2018-04-15,2018-08-05,False,2017-02-06,April,Apr
2018-04-16,71,3,2018,11,1,,2018-04-22,2018-08-05,False,2017-02-06,April,Apr
2018-04-17,72,3,2018,11,1,,2018-04-22,2018-08-05,False,2017-02-06,April,Apr
2018-04-18,73,3,2018,11,1,,2018-04-22,2018-08-05,False,2017-02-06,April,Apr
2018-04-19,74,3,2018,11,1,,2018-04-22,2018-08-05,False,2017-02-06,April,Apr
2018-04-20,75,3,2018,11,1,,2018-04-22,2018-08-05,False,2017-02-06,April,Apr
2018-04-21,76,3,2018,11,1,,2018-04-22,2018-08-05,True,2017-02-06,April,Apr
2018-04-22,77,3,2018,11,1,,2018-04-22,2018-08-05,False,2017-02-06,April,Apr
2018-04-23,78,3,2018,12,1,,2018-04-29,2018-08-05,False,2017-02-06,April,Apr
2018-04-24,79,3,2018,12,1,,2018-04-29,2018-08-05,False,2017-02-06,April,Apr
2018-04-25,80,3,2018,12,1,,2018-04-29,2018-08-05,False,2017-02-06,April,Apr
2018-04-26,81,3,2018,12,1,,2018-04-29,2018-08-05,False,2017-02-06,April,Apr
2018-04-27,82,3,2018,12,1,,2018-04-29,2018-08-05,False,2017-02-06,April,Apr
2018-04-28,83,3,2018,12,1,,2018-04-29,2018-08-05,True,2017-02-06,April,Apr
2018-04-29,84,3,2018,12,1,,2018-04-29,2018-08-05,False,2017-02-06,April,Apr
2018-04-30,85,3,2018,13,1,2018-05-06,2018-05-06,2018-08-05,False,2017-02-06,April,Apr
2018-05-01,86,3,2018,13,1,2018-05-06,2018-05-06,2018-08-05,False,2017-02-06,May,May
2018-05-02,87,3,2018,13,1,2018-05-06,2018-05-06,2018-08-05,False,2017-02-06,May,May
2018-05-03,88,3,2018,13,1,2018-05-06,2018-05-06,2018-08-05,False,2017-02-06,May,May
2018-05-04,89,3,2018,13,1,2018-05-06,2018-05-06,2018-08-05,False,2017-02-06,May,May
2018-05-05,90,3,2018,13,1,2018-05-06,2018-05-06,2018-08-05,True,2017-02-06,May,May
2018-05-06,91,3,2018,13,1,2018-05-06,2018-05-06,2018-08-05,False,2017-02-06,May,May
2018-05-07,92,4,2018,14,1,,2018-05-13,2018-08-05,False,2017-02-06,May,May
2018-05-08,93,4,2018,14,1,,2018-05-13,2018-08-05,False,2017-02-06,May,May
2018-05-09,94,4,2018,14,1,,2018-05-13,2018-08-05,False,2017-02-06,May,May
2018-05-10,95,4,2018,14,1,,2018-05-13,2018-08-05,False,2017-02-06,May,May
2018-05-11,96,4,2018,14,1,,2018-05-13,2018-08-05,False,2017-02-06,May,May
2018-05-12,97,4,2018,14,1,,2018-05-13,2018-08-05,True,2017-02-06,May,May
2018-05-13,98,4,2018,14,1,,2018-05-13,2018-08-05,False,2017-02-06,May,May
2018-05-14,99,4,2018,15,1,,2018-05-20,2018-08-05,False,2017-02-06,May,May
2018-05-15,100,4,2018,15,1,,2018-05-20,2018-08-05,False,2017-02-06,May,May
2018-05-16,101,4,2018,15,1,,2018-05-20,2018-08-05,False,2017-02-06,May,May
2018-05-17,102,4,2018,15,1,,2018-05-20,2018-08-05,False,2017-02-06,May,May
2018-05-18,103,4,2018,15,1,,2018-05-20,2018-08-05,False,2017-02-06,May,May
2018-05-19,104,4,2018,15,1,,2018-05-20,2018-08-05,True,2017-02-06,May,May
2018-05-20,105,4,2018,15,1,,2018-05-20,2018-08-05,False,2017-02-06,May,May
2018-05-21,106,4,2018,16,1,,2018-05-27,2018-08-05,False,2017-02-06,May,May
2018-05-22,107,4,2018,16,1,,2018-05-27,2018-08-05,False,2017-02-06,May,May
2018-05-23,108,4,2018,16,1,,2018-05-27,2018-08-05,False,2017-02-06,May,May
2018-05-24,109,4,2018,16,1,,2018-05-27,2018-08-05,False,2017-02-06,May,May
2018-05-25,110,4,2018,16,1,,2018-05-27,2018-08-05,False,2017-02-06,May,May
2018-05-26,111,4,2018,16,1,,2018-05-27,2018-08-05,True,2017-02-06,May,May
2018-05-27,112,4,2018,16,1,,2018-05-27,2018-08-05,False,2017-02-06,May,May
2018-05-28,113,4,2018,17,1,2018-06-03,2018-06-03,2018-08-05,False,2017-02-06,May,May
2018-05-29,114,4,2018,17,1,2018-06-03,2018-06-03,2018-08-05,False,2017-02-06,May,May
2018-05-30,115,4,2018,17,1,2018-06-03,2018-06-03,2018-08-05,False,2017-02-06,May,May
2018-05-31,116,4,2018,17,1,2018-06-03,2018-06-03,2018-08-05,False,2017-02-06,May,May
2018-06-01,117,4,2018,17,1,2018-06-03,2018-06-03,2018-08-05,False,2017-02-06,June,Jun
2018-06-02,118,4,2018,17,1,2018-06-03,2018-06-03,2018-08-05,True,2017-02-06,June,Jun
2018-06-03,119,4,2018,17,1,2018-06-03,2018-06-03,2018-08-05,False,2017-02-06,June,Jun
2018-06-04,120,5,2018,18,1,,2018-06-10,2018-08-05,False,2017-02-06,June,Jun
2018-06-05,121,5,2018,18,1,,2018-06-10,2018-08-05,False,2017-02-06,June,Jun
2018-06-06,122,5,2018,18,1,,2018-06-10,2018-08-05,False,2017-02-06,June,Jun
2018-06-07,123,5,2018,18,1,,2018-06-10,2018-08-05,False,2017-02-06,June,Jun
2018-06-08,124,5,2018,18,1,,2018-06-10,2018-08-05,False,2017-02-06,June,Jun
2018-06-09,125,5,2018,18,1,,2018-06-10,2018-08-05,True,2017-02-06,June,Jun
2018-06-10,126,5,2018,18,1,,2018-06-10,2018-08-05,False,2017-02-06,June,Jun
2018-06-11,127,5,2018,19,1,,2018-06-17,2018-08-05,False,2017-02-06,June,Jun
2018-06-12,128,5,2018,19,1,,2018-06-17,2018-08-05,False,2017-02-06,June,Jun
2018-06-13,129,5,2018,19,1,,2018-06-17,2018-08-05,False,2017-02-06,June,Jun
2018-06-14,130,5,2018,19,1,,2018-06-17,2018-08-05,False,2017-02-06,June,Jun
2018-06-15,131,5,2018,19,1,,2018-06-17,2018-08-05,False,2017-02-06,June,Jun
2018-06-16,132,5,2018,19,1,,2018-06-17,2018-08-05,True,2017-02-06,June,Jun
2018-06-17,133,5,2018,19,1,,2018-06-17,2018-08-05,False,2017-02-06,June,Jun
2018-06-18,134,5,2018,20,1,,2018-06-24,2018-08-05,False,2017-02-06,June,Jun
2018-06-19,135,5,2018,20,1,,2018-06-24,2018-08-05,False,2017-02-06,June,Jun
2018-06-20,136,5,2018,20,1,,2018-06-24,2018-08-05,False,2017-02-06,June,Jun
2018-06-21,137,5,2018,20,1,,2018-06-24,2018-08-05,False,2017-02-06,June,Jun
2018-06-22,138,5,2018,20,1,,2018-06-24,2018-08-05,False,2017-02-06,June,Jun
2018-06-23,139,5,2018,20,1,,2018-06-24,2018-08-05,True,2017-02-06,June,Jun
2018-06-24,140,5,2018,20,1,,2018-06-24,2018-08-05,False,2017-02-06,June,Jun
2018-06-25,141,5,2018,21,1,2018-07-01,2018-07-01,2018-08-05,False,2017-02-06,June,Jun
2018-06-26,142,5,2018,21,1,2018-07-01,2018-07-01,2018-08-05,False,2017-02-06,June,Jun
2018-06-27,143,5,2018,21,1,2018-07-01,2018-07-01,2018-08-05,False,2017-02-06,June,Jun
2018-06-28,144,5,2018,21,1,2018-07-01,2018-07-01,2018-08-05,False,2017-02-06,June,Jun
2018-06-29,145,5,2018,21,1,2018-07-01,2018-07-01,2018-08-05,False,2017-02-06,June,Jun
2018-06-30,146,5,2018,21,1,2018-07-01,2018-07-01,2018-08-05,True,2017-02-06,June,Jun
2018-07-01,147,5,2018,21,1,2018-07-01,2018-07-01,2018-08-05,False,2017-02-06,July,Jul
2018-07-02,148,6,2018,22,1,,2018-07-08,2018-08-05,False,2017-02-06,July,Jul
2018-07-03,149,6,2018,22,1,,2018-07-08,2018-08-05,False,2017-02-06,July,Jul
2018-07-04,150,6,2018,22,1,,2018-07-08,2018-08-05,False,2017-02-06,July,Jul
2018-07-05,151,6,2018,22,1,,2018-07-08,2018-08-05,False,2017-02-06,July,Jul
2018-07-06,152,6,2018,22,1,,2018-07-08,2018-08-05,False,2017-02-06,July,Jul
2018-07-07,153,6,2018,22,1,,2018-07-08,2018-08-05,True,2017-02-06,July,Jul
2018-07-08,154,6,2018,22,1,,2018-07-08,2018-08-05,False,2017-02-06,July,Jul
2018-07-09,155,6,2018,23,1,,2018-07-15,2018-08-05,False,2017-02-06,July,Jul
2018-07-10,156,6,2018,23,1,,2018-07-15,2018-08-05,False,2017-02-06,July,Jul
2018-07-11,157,6,2018,23,1,,2018-07-15,2018-08-05,False,2017-02-06,July,Jul
2018-07-12,158,6,2018,23,1,,2018-07-15,2018-08-05,False,2017-02-06,July,Jul
2018-07-13,159,6,2018,23,1,,2018-07-15,2018-08-05,False,2017-02-06,July,Jul
2018-07-14,160,6,2018,23,1,,2018-07-15,2018-08-05,True,2017-02-06,July,Jul
2018-07-15,161,6,2018,23,1,,2018-07-15,2018-08-05,False,2017-02-06,July,Jul
2018-07-16,162,6,2018,24,1,,2018-07-22,2018-08-05,False,2017-02-06,July,Jul
2018-07-17,163,6,2018,24,1,,2018-07-22,2018-08-05,False,2017-02-06,July,Jul
