ProductID,Date,SalesVolume,SalesValue,StoreCode,StoreWarehouse,Currency
TNhb-4983,2022-01-01,7,3086.39,2,1,USD
EeGw-2311,2022-01-01,8,5845.59,1,1,EUR
TMCG-0242,2022-01-01,8,1579.11,3,3,USD
gIiQ-2116,2022-01-01,0,0.0,3,1,USD
cJWa-0807,2022-01-01,8,3570.67,1,1,USD
lWZz-9346,2022-01-01,6,1243.26,2,2,GBP
gRXB-6769,2022-01-01,2,1375.72,3,3,EUR
FHDB-7612,2022-01-01,10,4500.85,2,2,EUR
PrAk-5848,2022-01-01,1,1123.65,2,2,GBP
aBYF-1453,2022-01-01,1,43.84,2,2,EUR
PZkY-5733,2022-01-01,9,10146.21,3,4,USD
MFjW-4530,2022-01-01,6,6857.54,2,2,EUR
KnIO-4202,2022-01-01,3,1622.05,4,2,USD
XuQi-1451,2022-01-01,2,295.97,1,1,EUR
BXBD-2124,2022-01-01,4,2222.81,2,2,EUR
hQOf-3394,2022-01-01,5,2940.5,2,4,EUR
zaCb-2951,2022-01-01,6,97.39,4,4,USD
hYGp-7829,2022-01-01,3,2242.24,1,3,GBP
tAWl-3059,2022-01-01,7,7911.08,4,4,USD
lmCx-8612,2022-01-01,0,0.0,1,1,EUR
cNHs-9823,2022-01-01,10,7902.39,4,4,GBP
JUty-1496,2022-01-01,7,8393.4,3,3,USD
UuJy-2778,2022-01-01,6,712.57,3,3,GBP
gjvV-5791,2022-01-01,10,1564.61,4,2,GBP
suOu-7663,2022-01-01,6,5093.35,2,2,EUR
cYGL-4043,2022-01-01,2,1064.69,4,4,EUR
IFMD-9485,2022-01-01,1,465.05,3,3,EUR
ieuz-8185,2022-01-01,4,1959.7,2,2,EUR
CfGy-8724,2022-01-01,4,2390.09,1,1,USD
JkYE-9181,2022-01-01,10,3027.11,4,4,EUR
RfpW-0883,2022-01-01,5,977.44,4,2,USD
xbeQ-5457,2022-01-01,2,1889.96,4,3,EUR
QFlZ-8238,2022-01-01,1,97.73,1,1,EUR
gyuN-0507,2022-01-01,6,4115.78,2,2,USD
fUTs-1829,2022-01-01,9,8955.84,3,3,EUR
QIDP-4657,2022-01-01,2,1567.51,3,3,GBP
DhcP-9264,2022-01-01,0,0.0,3,3,GBP
JezU-6048,2022-01-01,1,679.93,4,4,GBP
tkLW-4029,2022-01-01,0,0.0,4,4,GBP
joyz-4282,2022-01-01,7,5056.85,1,1,EUR
kesf-3214,2022-01-01,0,0.0,2,4,EUR
PjPH-0464,2022-01-01,10,989.71,3,3,USD
iSdd-1425,2022-01-01,6,3560.45,2,2,USD
FqqV-5844,2022-01-01,5,3017.13,1,1,USD
dbQE-0005,2022-01-01,1,159.33,2,2,GBP
oLnE-4952,2022-01-01,1,1065.05,2,2,GBP
vBQD-6291,2022-01-01,1,413.1,1,1,GBP
vsRH-2960,2022-01-01,8,3344.75,4,4,GBP
CqnW-1495,2022-01-01,5,5802.76,4,2,USD
VssK-1055,2022-01-01,5,3961.47,3,3,USD
JRVf-4313,2022-01-01,2,779.44,1,3,USD
GSmB-5775,2022-01-01,8,2072.34,2,2,EUR
BvMp-9178,2022-01-01,4,1549.83,1,1,EUR
JEDL-6798,2022-01-01,0,0.0,3,3,EUR
olFd-0300,2022-01-01,4,1500.76,4,4,USD
fboh-5937,2022-01-01,8,9435.24,2,2,USD
Qudx-2448,2022-01-01,3,490.39,1,1,USD
pFXC-0459,2022-01-01,5,4448.19,2,1,EUR
itrC-5597,2022-01-01,10,7244.58,1,1,EUR
Sxre-2030,2022-01-01,6,6418.47,3,3,GBP
QuUl-8749,2022-01-01,4,4422.18,4,4,GBP
tyeC-2254,2022-01-01,2,1060.27,4,4,USD
srps-7972,2022-01-01,2,584.16,3,1,EUR
xLCp-0759,2022-01-01,8,5711.42,2,2,USD
qdZH-9877,2022-01-01,0,0.0,3,3,USD
Pwga-7746,2022-01-01,10,1405.72,2,2,GBP
nmSW-6668,2022-01-01,2,154.48,4,4,EUR
pQxM-8871,2022-01-01,10,6195.37,2,3,USD
EmjK-9178,2022-01-01,0,0.0,3,3,EUR
bhAn-0398,2022-01-01,3,1151.37,3,3,USD
mKgk-2456,2022-01-01,3,2758.26,4,4,EUR
iANi-3516,2022-01-01,9,4394.4,4,4,GBP
mgMq-8367,2022-01-01,1,236.93,4,2,USD
gipK-3736,2022-01-01,7,6838.11,3,3,EUR
Qckn-7988,2022-01-01,3,1437.87,1,1,USD
XXGf-8148,2022-01-01,1,704.04,1,1,GBP
Qcfv-0534,2022-01-01,7,1631.71,2,2,USD
ByEE-7591,2022-01-01,2,1019.48,4,4,GBP
uaKQ-3184,2022-01-01,8,3150.55,3,3,USD
KaAC-7684,2022-01-01,2,1509.97,4,4,GBP
yNlO-5615,2022-01-01,5,1647.93,4,4,EUR
ZmiX-0179,2022-01-01,10,992.02,2,2,GBP
KjCa-8653,2022-01-01,1,606.12,4,4,USD
YQtf-4263,2022-01-01,8,1519.28,1,1,USD
jpYY-1718,2022-01-01,10,295.57,3,3,USD
jHXL-6684,2022-01-01,5,5367.57,4,4,EUR
PtAZ-7396,2022-01-01,6,7200.14,4,4,GBP
qJVw-4883,2022-01-01,2,1238.22,4,4,EUR
xPlc-7505,2022-01-01,3,2369.75,4,3,USD
ffQc-3545,2022-01-01,7,2438.65,2,2,USD
ENPS-8428,2022-01-01,6,273.41,2,4,USD
ykBI-9130,2022-01-01,6,666.51,3,3,EUR
Uxje-5116,2022-01-01,10,161.5,4,4,USD
cZvj-4585,2022-01-01,0,0.0,4,4,EUR
pSMh-5512,2022-01-01,1,1084.08,1,1,USD
rPXg-4909,2022-01-01,6,3254.5,1,1,USD
gceD-3109,2022-01-01,7,5989.04,4,4,EUR
iENE-7522,2022-01-01,1,573.53,1,1,USD
nOVR-9039,2022-01-01,1,587.24,2,2,EUR
TmyU-6402,2022-01-01,7,3614.93,3,3,USD
TNhb-4983,2022-01-02,7,3150.28,3,3,USD
EeGw-2311,2022-01-02,8,5813.72,3,3,EUR
TMCG-0242,2022-01-02,1,209.52,3,3,GBP
gIiQ-2116,2022-01-02,2,358.83,1,1,EUR
cJWa-0807,2022-01-02,0,0.0,2,2,GBP
lWZz-9346,2022-01-02,7,1651.76,4,4,GBP
gRXB-6769,2022-01-02,6,4616.2,2,2,GBP
FHDB-7612,2022-01-02,3,1328.21,3,3,USD
PrAk-5848,2022-01-02,2,2181.1,3,2,EUR
aBYF-1453,2022-01-02,3,132.73,2,2,EUR
PZkY-5733,2022-01-02,9,10229.12,1,1,USD
MFjW-4530,2022-01-02,2,2139.9,2,2,EUR
KnIO-4202,2022-01-02,8,4456.23,4,4,GBP
XuQi-1451,2022-01-02,10,1541.43,4,4,USD
BXBD-2124,2022-01-02,8,4261.72,4,4,USD
hQOf-3394,2022-01-02,2,1060.22,2,2,EUR
zaCb-2951,2022-01-02,7,108.22,4,3,EUR
hYGp-7829,2022-01-02,5,3438.64,2,2,EUR
tAWl-3059,2022-01-02,2,2084.32,3,3,USD
lmCx-8612,2022-01-02,4,2880.41,1,4,EUR
cNHs-9823,2022-01-02,1,769.83,4,4,EUR
JUty-1496,2022-01-02,7,7664.54,1,1,GBP
UuJy-2778,2022-01-02,7,787.43,4,4,GBP
gjvV-5791,2022-01-02,8,1249.64,2,2,USD
suOu-7663,2022-01-02,8,6371.59,3,3,GBP
cYGL-4043,2022-01-02,7,3303.95,2,2,EUR
IFMD-9485,2022-01-02,0,0.0,2,2,EUR
ieuz-8185,2022-01-02,7,3496.12,4,4,GBP
CfGy-8724,2022-01-02,3,1848.09,2,3,EUR
JkYE-9181,2022-01-02,2,615.18,4,4,USD
RfpW-0883,2022-01-02,10,2015.2,3,3,EUR
xbeQ-5457,2022-01-02,9,7766.99,4,4,GBP
QFlZ-8238,2022-01-02,0,0.0,3,3,EUR
gyuN-0507,2022-01-02,0,0.0,1,1,GBP
fUTs-1829,2022-01-02,9,7948.72,3,2,USD
QIDP-4657,2022-01-02,7,5894.66,2,2,GBP
DhcP-9264,2022-01-02,0,0.0,2,2,USD
JezU-6048,2022-01-02,7,5223.05,3,3,EUR
tkLW-4029,2022-01-02,10,531.27,2,2,USD
joyz-4282,2022-01-02,10,7145.99,3,3,USD
kesf-3214,2022-01-02,9,4772.37,1,1,USD
PjPH-0464,2022-01-02,2,172.15,1,1,EUR
iSdd-1425,2022-01-02,9,4875.72,2,2,GBP
FqqV-5844,2022-01-02,10,5663.09,2,2,EUR
dbQE-0005,2022-01-02,3,443.49,2,2,USD
oLnE-4952,2022-01-02,10,9547.17,3,3,GBP
vBQD-6291,2022-01-02,9,3851.23,1,1,EUR
vsRH-2960,2022-01-02,7,2960.37,1,1,GBP
CqnW-1495,2022-01-02,1,1010.76,1,1,GBP
VssK-1055,2022-01-02,9,6622.33,4,4,USD
JRVf-4313,2022-01-02,2,783.08,3,3,USD
GSmB-5775,2022-01-02,7,1871.93,3,3,EUR
BvMp-9178,2022-01-02,1,353.84,3,3,GBP
JEDL-6798,2022-01-02,3,3347.45,4,4,GBP
olFd-0300,2022-01-02,6,2281.54,2,2,USD
fboh-5937,2022-01-02,0,0.0,2,3,EUR
Qudx-2448,2022-01-02,5,786.59,4,4,USD
pFXC-0459,2022-01-02,6,5583.29,3,3,GBP
itrC-5597,2022-01-02,6,4321.31,1,1,GBP
Sxre-2030,2022-01-02,2,2213.5,4,3,USD
QuUl-8749,2022-01-02,6,6487.0,1,1,USD
tyeC-2254,2022-01-02,5,2800.26,4,4,USD
srps-7972,2022-01-02,7,2083.44,4,4,GBP
xLCp-0759,2022-01-02,1,713.45,3,3,EUR
qdZH-9877,2022-01-02,9,9734.05,1,1,EUR
Pwga-7746,2022-01-02,4,507.46,3,3,EUR
nmSW-6668,2022-01-02,0,0.0,1,1,EUR
pQxM-8871,2022-01-02,4,2485.53,4,4,USD
EmjK-9178,2022-01-02,10,4257.33,4,4,USD
bhAn-0398,2022-01-02,7,2465.27,1,1,GBP
mKgk-2456,2022-01-02,0,0.0,2,2,EUR
iANi-3516,2022-01-02,2,987.09,3,3,USD
mgMq-8367,2022-01-02,7,1601.24,3,4,EUR
gipK-3736,2022-01-02,7,6763.39,2,2,USD
Qckn-7988,2022-01-02,0,0.0,3,3,GBP
XXGf-8148,2022-01-02,0,0.0,4,4,EUR
Qcfv-0534,2022-01-02,0,0.0,1,1,EUR
ByEE-7591,2022-01-02,8,4343.42,4,4,USD
uaKQ-3184,2022-01-02,9,3829.7,3,3,EUR
KaAC-7684,2022-01-02,5,4099.96,4,4,USD
yNlO-5615,2022-01-02,6,2009.42,1,1,USD
ZmiX-0179,2022-01-02,6,624.9,4,2,USD
KjCa-8653,2022-01-02,2,1281.02,4,4,EUR
YQtf-4263,2022-01-02,1,194.06,4,4,GBP
jpYY-1718,2022-01-02,7,232.89,4,4,USD
jHXL-6684,2022-01-02,4,4413.11,4,4,GBP
PtAZ-7396,2022-01-02,1,1066.13,3,3,EUR
qJVw-4883,2022-01-02,10,6470.52,4,4,GBP
xPlc-7505,2022-01-02,3,2409.98,3,3,USD
ffQc-3545,2022-01-02,10,3376.93,3,3,EUR
ENPS-8428,2022-01-02,3,129.91,3,3,EUR
ykBI-9130,2022-01-02,6,628.97,1,1,GBP
Uxje-5116,2022-01-02,4,61.68,4,4,GBP
cZvj-4585,2022-01-02,9,6215.67,4,4,EUR
pSMh-5512,2022-01-02,6,6125.89,1,1,USD
rPXg-4909,2022-01-02,10,6074.47,4,4,EUR
gceD-3109,2022-01-02,3,2561.06,4,4,GBP
iENE-7522,2022-01-02,2,1118.84,4,3,GBP
nOVR-9039,2022-01-02,4,2413.36,3,3,EUR
TmyU-6402,2022-01-02,4,1980.07,3,3,EUR
TNhb-4983,2022-01-03,3,1499.66,1,4,EUR
EeGw-2311,2022-01-03,10,7038.85,2,1,USD
TMCG-0242,2022-01-03,6,1308.97,1,1,GBP
gIiQ-2116,2022-01-03,1,177.66,4,4,EUR
cJWa-0807,2022-01-03,0,0.0,3,3,EUR
lWZz-9346,2022-01-03,4,808.0,4,4,USD
gRXB-6769,2022-01-03,2,1428.95,2,2,GBP
FHDB-7612,2022-01-03,0,0.0,2,2,EUR
PrAk-5848,2022-01-03,6,6223.81,1,1,GBP
aBYF-1453,2022-01-03,3,152.51,1,4,EUR
PZkY-5733,2022-01-03,7,7632.73,1,1,USD
MFjW-4530,2022-01-03,2,2081.57,4,4,GBP
KnIO-4202,2022-01-03,6,3375.91,1,1,USD
XuQi-1451,2022-01-03,9,1410.99,1,2,USD
BXBD-2124,2022-01-03,10,5436.37,2,2,USD
hQOf-3394,2022-01-03,7,3762.41,4,2,GBP
zaCb-2951,2022-01-03,9,147.7,4,4,EUR
hYGp-7829,2022-01-03,5,3348.73,1,1,GBP
tAWl-3059,2022-01-03,8,8291.53,4,4,EUR
lmCx-8612,2022-01-03,4,2789.23,1,1,EUR
cNHs-9823,2022-01-03,9,7314.54,1,4,EUR
JUty-1496,2022-01-03,2,2211.95,4,4,EUR
UuJy-2778,2022-01-03,0,0.0,3,3,EUR
gjvV-5791,2022-01-03,8,1326.49,2,2,EUR
suOu-7663,2022-01-03,4,3374.71,2,2,USD
cYGL-4043,2022-01-03,7,3744.62,3,3,EUR
IFMD-9485,2022-01-03,10,5361.57,2,2,USD
ieuz-8185,2022-01-03,7,3464.66,3,3,USD
CfGy-8724,2022-01-03,6,4102.31,4,4,GBP
JkYE-9181,2022-01-03,8,2592.25,4,4,EUR
RfpW-0883,2022-01-03,2,420.86,3,3,GBP
xbeQ-5457,2022-01-03,7,6802.99,3,3,USD
QFlZ-8238,2022-01-03,0,0.0,2,2,USD
gyuN-0507,2022-01-03,6,3749.92,2,2,GBP
fUTs-1829,2022-01-03,8,6978.58,3,3,USD
QIDP-4657,2022-01-03,2,1637.13,2,2,USD
DhcP-9264,2022-01-03,1,54.92,2,2,USD
JezU-6048,2022-01-03,10,7540.19,2,2,GBP
tkLW-4029,2022-01-03,3,150.36,2,3,EUR
joyz-4282,2022-01-03,6,4648.01,3,3,GBP
kesf-3214,2022-01-03,0,0.0,3,4,EUR
PjPH-0464,2022-01-03,10,858.21,1,2,EUR
iSdd-1425,2022-01-03,9,5122.99,2,2,EUR
FqqV-5844,2022-01-03,3,1785.24,4,4,USD
dbQE-0005,2022-01-03,1,146.14,2,2,USD
oLnE-4952,2022-01-03,0,0.0,3,3,GBP
vBQD-6291,2022-01-03,5,2177.32,4,2,GBP
vsRH-2960,2022-01-03,10,4163.91,3,3,EUR
CqnW-1495,2022-01-03,5,5345.79,2,2,GBP
VssK-1055,2022-01-03,0,0.0,4,4,GBP
JRVf-4313,2022-01-03,6,2502.94,4,4,GBP
GSmB-5775,2022-01-03,6,1424.48,2,2,EUR
BvMp-9178,2022-01-03,7,2403.98,4,4,USD
JEDL-6798,2022-01-03,3,3540.64,1,4,GBP
olFd-0300,2022-01-03,10,3916.74,3,3,USD
fboh-5937,2022-01-03,3,3263.17,2,2,USD
Qudx-2448,2022-01-03,2,301.42,3,3,GBP
pFXC-0459,2022-01-03,2,1924.73,4,4,GBP
itrC-5597,2022-01-03,3,2131.82,3,3,GBP
Sxre-2030,2022-01-03,5,5581.37,2,2,USD
QuUl-8749,2022-01-03,5,5936.86,1,1,GBP
tyeC-2254,2022-01-03,3,1492.21,4,4,EUR
srps-7972,2022-01-03,4,1177.42,2,2,GBP
xLCp-0759,2022-01-03,9,6585.05,3,3,GBP
qdZH-9877,2022-01-03,10,11233.69,1,1,USD
Pwga-7746,2022-01-03,2,286.91,4,1,USD
nmSW-6668,2022-01-03,0,0.0,1,1,USD
pQxM-8871,2022-01-03,2,1328.34,1,1,EUR
EmjK-9178,2022-01-03,2,876.41,3,3,GBP
bhAn-0398,2022-01-03,9,3112.12,1,1,USD
mKgk-2456,2022-01-03,4,3563.53,4,4,EUR
iANi-3516,2022-01-03,2,998.52,4,4,GBP
mgMq-8367,2022-01-03,4,934.06,2,2,GBP
gipK-3736,2022-01-03,1,997.37,4,4,EUR
Qckn-7988,2022-01-03,7,2973.58,2,2,USD
XXGf-8148,2022-01-03,2,1362.71,4,4,GBP
Qcfv-0534,2022-01-03,1,214.24,3,3,GBP
ByEE-7591,2022-01-03,7,3558.06,4,4,GBP
uaKQ-3184,2022-01-03,1,445.08,4,4,EUR
KaAC-7684,2022-01-03,5,3926.67,4,4,USD
yNlO-5615,2022-01-03,3,940.26,2,3,GBP
ZmiX-0179,2022-01-03,5,487.55,1,1,USD
KjCa-8653,2022-01-03,2,1325.42,2,2,EUR
YQtf-4263,2022-01-03,1,175.91,2,2,EUR
jpYY-1718,2022-01-03,3,87.34,3,3,EUR
jHXL-6684,2022-01-03,8,7478.9,4,4,GBP
PtAZ-7396,2022-01-03,6,6438.06,4,4,EUR
qJVw-4883,2022-01-03,7,4363.5,4,4,USD
xPlc-7505,2022-01-03,10,8192.48,4,4,USD
ffQc-3545,2022-01-03,5,1609.26,1,1,GBP
ENPS-8428,2022-01-03,1,42.84,1,1,EUR
ykBI-9130,2022-01-03,10,973.3,2,2,EUR
Uxje-5116,2022-01-03,10,178.85,2,2,USD
cZvj-4585,2022-01-03,6,4228.69,2,2,USD
pSMh-5512,2022-01-03,10,10288.84,2,2,USD
rPXg-4909,2022-01-03,7,3921.15,1,1,GBP
gceD-3109,2022-01-03,0,0.0,3,3,GBP
iENE-7522,2022-01-03,5,2926.41,1,1,EUR
nOVR-9039,2022-01-03,2,1157.78,2,2,USD
TmyU-6402,2022-01-03,8,4543.59,2,2,EUR
TNhb-4983,2022-01-04,7,3119.45,4,4,USD
EeGw-2311,2022-01-04,2,1526.46,2,2,GBP
TMCG-0242,2022-01-04,6,1314.12,1,1,EUR
gIiQ-2116,2022-01-04,10,1817.92,2,2,EUR
cJWa-0807,2022-01-04,4,1813.12,3,3,USD
lWZz-9346,2022-01-04,3,679.1,4,4,GBP
gRXB-6769,2022-01-04,3,2260.55,2,2,USD
FHDB-7612,2022-01-04,0,0.0,1,4,EUR
PrAk-5848,2022-01-04,4,4624.06,4,4,GBP
aBYF-1453,2022-01-04,10,436.23,1,3,USD
PZkY-5733,2022-01-04,8,8595.65,3,3,GBP
MFjW-4530,2022-01-04,4,4535.87,2,2,USD
KnIO-4202,2022-01-04,6,2936.32,1,1,USD
XuQi-1451,2022-01-04,3,453.53,1,1,EUR
BXBD-2124,2022-01-04,10,5705.8,3,3,EUR
hQOf-3394,2022-01-04,7,4162.66,2,2,EUR
zaCb-2951,2022-01-04,3,53.96,2,2,EUR
hYGp-7829,2022-01-04,10,6953.04,4,4,USD
tAWl-3059,2022-01-04,5,5512.6,4,4,GBP
lmCx-8612,2022-01-04,10,6674.17,1,1,USD
cNHs-9823,2022-01-04,8,6272.07,1,1,USD
JUty-1496,2022-01-04,10,11198.36,3,3,GBP
UuJy-2778,2022-01-04,0,0.0,2,2,GBP
gjvV-5791,2022-01-04,1,159.77,2,2,GBP
suOu-7663,2022-01-04,4,3177.46,1,1,USD
cYGL-4043,2022-01-04,10,4636.47,2,2,EUR
IFMD-9485,2022-01-04,6,3149.45,3,3,EUR
ieuz-8185,2022-01-04,6,2924.91,2,2,USD
CfGy-8724,2022-01-04,10,6696.31,4,4,USD
JkYE-9181,2022-01-04,1,329.51,4,1,EUR
RfpW-0883,2022-01-04,5,970.03,3,2,EUR
xbeQ-5457,2022-01-04,2,2050.12,4,4,EUR
QFlZ-8238,2022-01-04,6,589.04,3,2,EUR
gyuN-0507,2022-01-04,1,649.16,2,2,USD
fUTs-1829,2022-01-04,8,8189.87,1,4,EUR
QIDP-4657,2022-01-04,2,1696.0,4,2,EUR
DhcP-9264,2022-01-04,7,409.43,4,4,USD
JezU-6048,2022-01-04,6,4296.2,4,4,USD
tkLW-4029,2022-01-04,9,427.62,1,4,USD
joyz-4282,2022-01-04,0,0.0,2,2,USD
kesf-3214,2022-01-04,1,474.8,4,4,EUR
PjPH-0464,2022-01-04,7,624.84,2,2,USD
iSdd-1425,2022-01-04,4,2304.72,3,3,EUR
FqqV-5844,2022-01-04,4,2452.48,1,1,EUR
dbQE-0005,2022-01-04,10,1665.66,3,3,GBP
oLnE-4952,2022-01-04,6,5573.59,1,1,USD
vBQD-6291,2022-01-04,2,857.99,4,4,EUR
vsRH-2960,2022-01-04,7,2975.64,4,2,EUR
CqnW-1495,2022-01-04,6,6446.4,3,3,GBP
VssK-1055,2022-01-04,6,4437.9,2,1,EUR
JRVf-4313,2022-01-04,3,1224.69,4,1,GBP
GSmB-5775,2022-01-04,8,2161.72,4,4,GBP
BvMp-9178,2022-01-04,0,0.0,2,2,EUR
JEDL-6798,2022-01-04,10,10902.5,2,2,USD
olFd-0300,2022-01-04,1,376.35,4,4,USD
fboh-5937,2022-01-04,7,8682.57,3,3,USD
Qudx-2448,2022-01-04,1,151.86,4,4,USD
pFXC-0459,2022-01-04,9,7616.11,4,4,USD
itrC-5597,2022-01-04,4,3157.41,1,1,USD
Sxre-2030,2022-01-04,9,9971.02,2,2,USD
QuUl-8749,2022-01-04,6,6960.7,2,2,EUR
tyeC-2254,2022-01-04,5,2546.32,3,3,USD
srps-7972,2022-01-04,7,2067.14,1,1,GBP
xLCp-0759,2022-01-04,7,5173.21,2,2,USD
qdZH-9877,2022-01-04,2,2410.16,4,4,GBP
Pwga-7746,2022-01-04,1,137.41,2,2,GBP
nmSW-6668,2022-01-04,0,0.0,4,4,USD
pQxM-8871,2022-01-04,10,6229.32,2,2,GBP
EmjK-9178,2022-01-04,10,4178.8,3,3,EUR
bhAn-0398,2022-01-04,10,3596.96,1,1,GBP
mKgk-2456,2022-01-04,0,0.0,4,4,USD
iANi-3516,2022-01-04,4,1724.51,2,2,GBP
mgMq-8367,2022-01-04,8,1701.74,2,2,EUR
gipK-3736,2022-01-04,10,9582.41,1,2,GBP
Qckn-7988,2022-01-04,9,4230.61,2,2,GBP
XXGf-8148,2022-01-04,1,720.31,3,3,USD
Qcfv-0534,2022-01-04,0,0.0,3,1,USD
ByEE-7591,2022-01-04,8,4015.35,2,2,USD
uaKQ-3184,2022-01-04,6,2474.76,2,2,EUR
KaAC-7684,2022-01-04,7,5352.85,1,1,GBP
yNlO-5615,2022-01-04,8,2696.36,2,2,USD
ZmiX-0179,2022-01-04,0,0.0,4,3,GBP
KjCa-8653,2022-01-04,5,3296.0,4,4,USD
YQtf-4263,2022-01-04,4,775.7,2,2,USD
jpYY-1718,2022-01-04,6,181.95,2,1,EUR
jHXL-6684,2022-01-04,10,10539.96,4,4,EUR
PtAZ-7396,2022-01-04,3,3201.68,1,1,USD
qJVw-4883,2022-01-04,6,3568.33,2,2,USD
xPlc-7505,2022-01-04,8,7391.67,3,3,EUR
ffQc-3545,2022-01-04,7,2386.59,4,1,GBP
ENPS-8428,2022-01-04,3,121.16,1,3,USD
ykBI-9130,2022-01-04,8,868.28,3,3,USD
Uxje-5116,2022-01-04,3,53.39,4,4,GBP
cZvj-4585,2022-01-04,9,6397.2,2,2,USD
pSMh-5512,2022-01-04,4,3727.79,2,2,EUR
rPXg-4909,2022-01-04,3,1837.41,4,2,EUR
gceD-3109,2022-01-04,9,8229.11,1,1,USD
iENE-7522,2022-01-04,2,1204.4,2,2,GBP
nOVR-9039,2022-01-04,6,3510.48,1,1,EUR
TmyU-6402,2022-01-04,8,4595.14,1,1,EUR
TNhb-4983,2022-01-05,6,2712.81,2,2,GBP
EeGw-2311,2022-01-05,5,3837.83,1,1,EUR
TMCG-0242,2022-01-05,7,1530.44,1,3,USD
gIiQ-2116,2022-01-05,7,1242.33,4,4,EUR
cJWa-0807,2022-01-05,6,2341.92,3,3,GBP
lWZz-9346,2022-01-05,2,399.98,3,3,GBP
